2022-11-02 17:27:08,701 INFO     slice_id:0
2022-11-02 17:27:08,702 INFO     Starting iperf3 client: while ! iperf3 -c 172.16.0.3 -p 5204 -t 5 -b 2M; do sleep 1; done
2022-11-02 17:27:15,211 INFO     Starting iperf3 client: iperf3 -c 172.16.0.3 -p 5204 -t 30 -b 2M --json --logfile /logs/iperf-ue2.json
2022-11-02 17:27:46,250 INFO     ts_ms:1667410036211 stream:{'bits_per_second': 2681767.187433768, 'snd_cwnd': 70952, 'retransmits': 0, 'rttvar': 6891, 'end': 1.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000569820404053, 'omitted': False, 'sender': True, 'rtt': 90870, 'bytes': 335240, 'start': 0}
2022-11-02 17:27:46,250 INFO     ts_ms:1667410037211 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 37648, 'retransmits': 1, 'rttvar': 11767, 'end': 2.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 48829, 'bytes': 262144, 'start': 1.000057}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410038211 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 40544, 'retransmits': 0, 'rttvar': 11259, 'end': 3.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 43503, 'bytes': 262144, 'start': 2.000056}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410039211 stream:{'bits_per_second': 2097145.7500186265, 'snd_cwnd': 33304, 'retransmits': 0, 'rttvar': 7384, 'end': 4.00006, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000029802322388, 'omitted': False, 'sender': True, 'rtt': 49958, 'bytes': 262144, 'start': 3.000057}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410040211 stream:{'bits_per_second': 1048579.1250093132, 'snd_cwnd': 53576, 'retransmits': 0, 'rttvar': 4914, 'end': 5.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999970197677612, 'omitted': False, 'sender': True, 'rtt': 73635, 'bytes': 131072, 'start': 4.00006}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410041211 stream:{'bits_per_second': 2097152, 'snd_cwnd': 57920, 'retransmits': 0, 'rttvar': 4814, 'end': 6.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 73759, 'bytes': 262144, 'start': 5.000057}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410042211 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 60816, 'retransmits': 0, 'rttvar': 8427, 'end': 7.000058, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 79858, 'bytes': 262144, 'start': 6.000057}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410043211 stream:{'bits_per_second': 2097139.5000745053, 'snd_cwnd': 41992, 'retransmits': 1, 'rttvar': 5406, 'end': 8.000064, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000059604644775, 'omitted': False, 'sender': True, 'rtt': 68261, 'bytes': 262144, 'start': 7.000058}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410044211 stream:{'bits_per_second': 2097168.7501337836, 'snd_cwnd': 46336, 'retransmits': 0, 'rttvar': 1746, 'end': 9.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999920129776, 'omitted': False, 'sender': True, 'rtt': 61634, 'bytes': 262144, 'start': 8.000064}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410045211 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 47784, 'retransmits': 0, 'rttvar': 3546, 'end': 10.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 63266, 'bytes': 262144, 'start': 9.000056}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410046211 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 50680, 'retransmits': 0, 'rttvar': 18628, 'end': 11.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 96664, 'bytes': 262144, 'start': 10.000057}
2022-11-02 17:27:46,251 INFO     ts_ms:1667410047211 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 52128, 'retransmits': 0, 'rttvar': 18840, 'end': 12.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 65647, 'bytes': 262144, 'start': 11.000056}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410048211 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 55024, 'retransmits': 0, 'rttvar': 13447, 'end': 13.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 54009, 'bytes': 262144, 'start': 12.000057}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410049211 stream:{'bits_per_second': 2097143.5000344513, 'snd_cwnd': 53576, 'retransmits': 0, 'rttvar': 5254, 'end': 14.00006, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000040531158447, 'omitted': False, 'sender': True, 'rtt': 40083, 'bytes': 262144, 'start': 13.000056}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410050211 stream:{'bits_per_second': 2097152, 'snd_cwnd': 30408, 'retransmits': 0, 'rttvar': 4362, 'end': 15.00006, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 80788, 'bytes': 262144, 'start': 14.00006}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410051211 stream:{'bits_per_second': 1048577.0625010766, 'snd_cwnd': 47784, 'retransmits': 1, 'rttvar': 36538, 'end': 16.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 96974, 'bytes': 131072, 'start': 15.00006}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410052211 stream:{'bits_per_second': 2097156.250008613, 'snd_cwnd': 50680, 'retransmits': 0, 'rttvar': 4833, 'end': 17.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999979734420776, 'omitted': False, 'sender': True, 'rtt': 67868, 'bytes': 262144, 'start': 16.000059}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410053211 stream:{'bits_per_second': 2097145.7500186265, 'snd_cwnd': 53576, 'retransmits': 0, 'rttvar': 6525, 'end': 18.00006, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000029802322388, 'omitted': False, 'sender': True, 'rtt': 73103, 'bytes': 262144, 'start': 17.000057}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410054211 stream:{'bits_per_second': 2097152, 'snd_cwnd': 56472, 'retransmits': 0, 'rttvar': 3551, 'end': 19.00006, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 72911, 'bytes': 262144, 'start': 18.00006}
